order_date,order_id,customer_id,product_name,category,quantity,unit_price,total_price,region
2026-02-11,ORD-1001,CUST-106,USB-C Hub,Accessories,1,59.5,59.5,Bratislava
2026-03-10,ORD-1002,CUST-107,Mechanical Keyboard,Peripherals,1,119.9,119.9,West Slovakia
2026-01-05,ORD-1003,CUST-108,Mechanical Keyboard,Peripherals,1,119.9,119.9,West Slovakia
2026-01-12,ORD-1004,CUST-205,Wireless Mouse,Peripherals,1,79.0,79.0,Bratislava
2026-01-29,ORD-1005,CUST-107,Webcam,Peripherals,1,99.0,99.0,East Slovakia
2026-01-07,ORD-1006,CUST-209,USB-C Hub,Accessories,1,59.5,59.5,West Slovakia
2026-02-07,ORD-1007,CUST-115,Laptop Stand,Workspace,1,89.9,89.9,Central Slovakia
2026-03-13,ORD-1008,CUST-174,Webcam,Peripherals,1,99.0,99.0,West Slovakia
2026-02-17,ORD-1009,CUST-108,Mechanical Keyboard,Peripherals,1,119.9,119.9,Bratislava
2026-03-21,ORD-1010,CUST-168,USB-C Hub,Accessories,1,59.5,59.5,East Slovakia
2026-02-10,ORD-1011,CUST-158,Laptop Stand,Workspace,1,89.9,89.9,Central Slovakia
2026-02-08,ORD-1012,CUST-189,USB-C Hub,Accessories,2,59.5,119.0,West Slovakia
2026-01-11,ORD-1013,CUST-163,Wireless Mouse,Peripherals,1,79.0,79.0,Central Slovakia
2026-02-27,ORD-1014,CUST-109,Monitor Arm,Workspace,1,129.0,129.0,Bratislava
2026-03-07,ORD-1015,CUST-143,Laptop Stand,Workspace,1,89.9,89.9,West Slovakia
2026-03-04,ORD-1016,CUST-185,Laptop Stand,Workspace,1,89.9,89.9,Bratislava
2026-03-13,ORD-1017,CUST-204,Wireless Mouse,Peripherals,2,79.0,158.0,Central Slovakia
2026-02-13,ORD-1018,CUST-163,Webcam,Peripherals,1,99.0,99.0,East Slovakia
2026-01-09,ORD-1019,CUST-160,Mechanical Keyboard,Peripherals,3,119.9,359.7,Bratislava
2026-01-08,ORD-1020,CUST-182,Webcam,Peripherals,2,99.0,198.0,East Slovakia
2026-02-06,ORD-1021,CUST-185,Webcam,Peripherals,1,99.0,99.0,Central Slovakia
2026-01-03,ORD-1022,CUST-178,Laptop Stand,Workspace,1,89.9,89.9,Bratislava
2026-03-05,ORD-1023,CUST-136,Mechanical Keyboard,Peripherals,1,119.9,119.9,West Slovakia
2026-02-01,ORD-1024,CUST-211,Laptop Stand,Workspace,1,89.9,89.9,East Slovakia
2026-01-11,ORD-1025,CUST-170,USB-C Hub,Accessories,1,59.5,59.5,Central Slovakia
2026-01-18,ORD-1026,CUST-135,Laptop Stand,Workspace,2,89.9,179.8,East Slovakia
2026-02-15,ORD-1027,CUST-129,Webcam,Peripherals,2,99.0,198.0,West Slovakia
2026-01-11,ORD-1028,CUST-184,USB-C Hub,Accessories,1,59.5,59.5,West Slovakia
2026-01-02,ORD-1029,CUST-123,Laptop Stand,Workspace,2,89.9,179.8,Central Slovakia
2026-02-06,ORD-1030,CUST-168,Mechanical Keyboard,Peripherals,1,119.9,119.9,Central Slovakia
2026-03-20,ORD-1031,CUST-116,Wireless Mouse,Peripherals,1,79.0,79.0,Bratislava
2026-02-28,ORD-1032,CUST-150,Webcam,Peripherals,2,99.0,198.0,East Slovakia
2026-02-21,ORD-1033,CUST-181,Laptop Stand,Workspace,1,89.9,89.9,East Slovakia
2026-01-08,ORD-1034,CUST-126,USB-C Hub,Accessories,1,59.5,59.5,East Slovakia
2026-01-21,ORD-1035,CUST-106,Mechanical Keyboard,Peripherals,1,119.9,119.9,Bratislava
2026-01-01,ORD-1036,CUST-112,Wireless Mouse,Peripherals,1,79.0,79.0,Central Slovakia
2026-03-20,ORD-1037,CUST-126,Mechanical Keyboard,Peripherals,1,119.9,119.9,East Slovakia
2026-01-20,ORD-1038,CUST-144,Webcam,Peripherals,1,99.0,99.0,Central Slovakia
2026-03-02,ORD-1039,CUST-162,Mechanical Keyboard,Peripherals,1,119.9,119.9,East Slovakia
